ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1189,ABMI.2022.W1189.A,Lachance,27-Oct-22,7/14/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,4/13/2023,4,3 female 1 male,mv,ABMI.A.33952,2022
W1219-D,ABMI.2022.W1219-D.A,Lachance,1-Nov-22,7/13/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Cenocorixa,utahensis,Cenocorixa utahensis,"(Hungerford, 1925)",adult,Tebby,Cheryl,5/12/2023,1,,mv,ABMI.A.34126,2022
CABIN-W1020,ABMI.2022.CABIN-W1020.A,Hinchliffe,11-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,2/23/2023,4,,mv,ABMI.A.44370,2022
CABIN-W1040,ABMI.2022.CABIN-W1040.A,Hinchliffe,14-Oct-22,7/22/2022,Bishop,Bee,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,3/31/2023,1,,mv,ABMI.A.44457,2022
W1055,ABMI.2022.W1055.A,LaPierre,19-Oct-22,6/28/2022,Bishop,Bee,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,Tebby,Cheryl,3/31/2023,1,,mv,ABMI.A.33920,2022
CABIN-W1053-D,ABMI.2022.CABIN-W1053-D.A,Beamish,26-Oct-22,7/10/2022,Shaw,Linus,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,4/14/2023,5,,mv,ABMI.A.44478,2022
CABIN-W1054,ABMI.2022.CABIN-W1054.A,Hinchliffe,18-Oct-22,6/29/2022,Bishop,Bee,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,4/14/2023,2,,mv,ABMI.A.44488,2022
W1220-D,ABMI.2022.W1220-D.A,Lachance,11-Oct-22,7/9/2022,Lachance,Rose,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,Tebby,Cheryl,5/15/2023,14,,mv,ABMI.A.34153,2022
CABIN-W938,ABMI.2022.CABIN-W938.A,Beamish,24-Oct-22,7/23/2022,Lachance,Rose,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,1/19/2023,1,,mv,ABMI.A.44177,2022
W988,ABMI.2022.W988.A,Hinchliffe,12-Oct-22,7/8/2022,Beamish,Kathleen,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,Tebby,Cheryl,1/31/2023,5,,mv,ABMI.A.33639,2022
CABIN-W1251,ABMI.2022.CABIN-W1251.A,Tebby,22-Nov-22,7/12/2022,Bishop,Bee,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,6/15/2023,9,,mv,ABMI.A.44973,2022
CABIN-W1188,ABMI.2022.CABIN-W1188.A,LaPierre,10-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,4/28/2023,45,,mv,ABMI.A.44591,2022
CABIN-W1188-D,ABMI.2022.CABIN-W1188-D.A,Tebby,15-Nov-22,7/10/2022,Lachance,Rose,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,5/5/2023,72,,mv,ABMI.A.44651,2022
CABIN-W1189,ABMI.2022.CABIN-W1189.A,Hinchliffe,24-Oct-22,7/14/2022,Beamish,Kathleen,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,5/5/2023,18,,mv,ABMI.A.44672,2022
CABIN-W1220,ABMI.2022.CABIN-W1220.A,LaPierre,28-Nov-22,7/9/2022,Lachance,Rose,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,5/19/2023,1,,mv,ABMI.A.44745,2022
