ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physa,skinneri,Physa skinneri,"Taylor, 1954",unknown,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31215,2018
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonecta,sp.,Notonecta,"Linnaeus, 1758",juvenile,Tebby,Cheryl,2018-10-11,5,,mv,ABMI.A.31216,2018
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Dytiscus,sp.,Dytiscus,"Linnaeus, 1758",larva,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31217,2018
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Colymbetinae,Rhantus,sp.,Rhantus,"Dejean, 1833",larva,Tebby,Cheryl,2018-10-11,2,,mv,ABMI.A.31218,2018
W318,ABMI.2018.W318.A,Hinchliffe,09-Aug-18,2018-07-2,Zsolt,Jillian,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Gyraulus,sp.,Gyraulus,"Agassiz, 1837",unknown,LaPierre,Alex,2018-10-12,7,,mv,ABMI.A.40998,2018
W318,ABMI.2018.W318.A,Hinchliffe,09-Aug-18,2018-07-2,Zsolt,Jillian,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,2018-10-12,9,,mv,ABMI.A.40999,2018
W318,ABMI.2018.W318.A,Hinchliffe,09-Aug-18,2018-07-2,Zsolt,Jillian,,,,,mv,Ephemeroptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Ephemeroptera,Pisciforma,Baetidae,,Procloeon,sp.,Procloeon,"Bengtsson, 1915",nymph,LaPierre,Alex,2018-10-12,1,,mv,ABMI.A.41000,2018
W535,ABMI.2018.W535.A,Zsolt,23-Aug-2018,2018-07-23,Zsolt,Jillian,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,canadensis,Haliplus canadensis,"Wallis, 1933",adult,LaPierre,Alex,2019-02-06,1,"unsure, L=4.2mm",mv,ABMI.A.41664,2018
W535,ABMI.2018.W535.A,Zsolt,23-Aug-2018,2018-07-23,Zsolt,Jillian,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Colymbetinae,Rhantus,sp.,Rhantus,"Dejean, 1833",larva,LaPierre,Alex,2019-02-06,1,,mv,ABMI.A.41665,2018
W535,ABMI.2018.W535.A,Zsolt,23-Aug-2018,2018-07-23,Zsolt,Jillian,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,LaPierre,Alex,2019-02-06,18,,mv,ABMI.A.41666,2018
W536,ABMI.2018.W536.A,Keenan,24-Aug-18,2018-07-22,Zsolt,Jillian,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Planorbella,sp.,Planorbella,"Haldeman, 1842",unknown,LaPierre,Alex,2019-02-07,2,,mv,ABMI.A.41672,2018
W536,ABMI.2018.W536.A,Keenan,24-Aug-18,2018-07-22,Zsolt,Jillian,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Heterostropha,,Valvatidae,,Valvata,lewisi,Valvata lewisi,"Currier, 1868",unknown,LaPierre,Alex,2019-02-07,5,,mv,ABMI.A.41673,2018
